===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,BuySell,len,buy,sell,DrawDown,len,drawdown,maxdrawdown,Value,len,value,TimeReturn,len,timereturn
85,,85,2021-04-27 00:00:00,717.960022,724.0,703.349976,704.73999,29437000.0,0.0,MyStrategy,85,737907.0,Broker,85,9132.200073999997,9836.940063999997,Trades - Net Profit/Loss,85,,,BuySell,85,,,DrawDown,85,2.1279844146956615,2.1575338809137565,Value,85,9836.940063999997,TimeReturn,85,-0.0033899357380111628
86,,86,2021-04-28 00:00:00,696.409973,708.5,693.599976,694.400024,22271000.0,0.0,MyStrategy,86,737908.0,Broker,86,9132.200073999997,9826.600097999997,Trades - Net Profit/Loss,86,,,BuySell,86,,,DrawDown,86,2.2308612551480134,2.2308612551480134,Value,86,9826.600097999997,TimeReturn,86,-0.0010511364237991705
87,,87,2021-04-29 00:00:00,699.51001,702.25,668.5,677.0,28845400.0,0.0,MyStrategy,87,737909.0,Broker,87,9132.200073999997,9809.200073999997,Trades - Net Profit/Loss,87,,,BuySell,87,,,DrawDown,87,2.4039816979923336,2.4039816979923336,Value,87,9809.200073999997,TimeReturn,87,-0.001770706432181135
88,,88,2021-04-30 00:00:00,667.590027,715.469971,666.140015,709.440002,40758700.0,0.0,MyStrategy,88,737910.0,Broker,88,9132.200073999997,9841.640075999996,Trades - Net Profit/Loss,88,,,BuySell,88,,,DrawDown,88,2.0812219413327813,2.4039816979923336,Value,88,9841.640075999996,TimeReturn,88,0.003307099636593591
89,,89,2021-05-03 00:00:00,703.799988,706.0,680.5,684.900024,27043100.0,0.0,MyStrategy,89,737913.0,Broker,89,10539.800049999998,9854.900025999998,Trades - Net Profit/Loss,89,,-37.700012000000015,BuySell,89,,703.799988,DrawDown,89,1.949292903988135,2.4039816979923336,Value,89,9854.900025999998,TimeReturn,89,0.001347331328681367
90,,90,2021-05-04 00:00:00,678.940002,683.450012,657.700012,673.599976,29739300.0,0.0,MyStrategy,90,737914.0,Broker,90,10539.800049999998,9866.200073999998,Trades - Net Profit/Loss,90,,,BuySell,90,,,DrawDown,90,1.836863788147709,2.4039816979923336,Value,90,9866.200073999998,TimeReturn,90,0.0011466425808672742
91,,91,2021-05-05 00:00:00,681.059998,685.299988,667.340027,670.940002,21901900.0,0.0,MyStrategy,91,737915.0,Broker,91,10539.800049999998,9868.860047999999,Trades - Net Profit/Loss,91,,,BuySell,91,,,DrawDown,91,1.810398544373655,2.4039816979923336,Value,91,9868.860047999999,TimeReturn,91,0.00026960470901160605
92,,92,2021-05-06 00:00:00,680.76001,681.02002,650.0,663.539978,27784600.0,0.0,MyStrategy,92,737916.0,Broker,92,10539.800049999998,9876.260071999997,Trades - Net Profit/Loss,92,,,BuySell,92,,,DrawDown,92,1.7367724716775292,2.4039816979923336,Value,92,9876.260071999997,TimeReturn,92,0.0007498357423254554
93,,93,2021-05-07 00:00:00,665.799988,690.0,660.219971,672.369995,23469200.0,0.0,MyStrategy,93,737917.0,Broker,93,10539.800049999998,9867.430054999997,Trades - Net Profit/Loss,93,,,BuySell,93,,,DrawDown,93,1.8246261696588006,2.4039816979923336,Value,93,9867.430054999997,TimeReturn,93,-0.0008940648520419092
94,,94,2021-05-10 00:00:00,664.900024,665.049988,627.609985,629.039978,31392400.0,0.0,MyStrategy,94,737920.0,Broker,94,10539.800049999998,9910.760071999997,Trades - Net Profit/Loss,94,,,BuySell,94,,,DrawDown,94,1.3935168946663201,2.4039816979923336,Value,94,9910.760071999997,TimeReturn,94,0.004391216026714551
95,,95,2021-05-11 00:00:00,599.23999,627.099976,595.599976,617.200012,46503900.0,0.0,MyStrategy,95,737921.0,Broker,95,10539.800049999998,9922.600037999999,Trades - Net Profit/Loss,95,,,BuySell,95,,,DrawDown,95,1.275715898691724,2.4039816979923336,Value,95,9922.600037999999,TimeReturn,95,0.0011946577168640005
96,,96,2021-05-12 00:00:00,602.48999,620.409973,586.77002,589.890015,33823600.0,0.0,MyStrategy,96,737922.0,Broker,96,10539.800049999998,9949.910034999997,Trades - Net Profit/Loss,96,,,BuySell,96,,,DrawDown,96,1.00399680366538,2.4039816979923336,Value,96,9949.910034999997,TimeReturn,96,0.0027523025109761345
97,,97,2021-05-13 00:00:00,601.539978,606.460022,559.650024,571.690002,44184900.0,0.0,MyStrategy,97,737923.0,Broker,97,10539.800049999998,9968.110047999999,Trades - Net Profit/Loss,97,,,BuySell,97,,,DrawDown,97,0.8229169206530026,2.4039816979923336,Value,97,9968.110047999999,TimeReturn,97,0.0018291635739400292
98,,98,2021-05-14 00:00:00,583.409973,592.869995,570.460022,589.73999,33370900.0,0.0,MyStrategy,98,737924.0,Broker,98,10539.800049999998,9950.060059999998,Trades - Net Profit/Loss,98,,,BuySell,98,,,DrawDown,98,1.0025041393772238,2.4039816979923336,Value,98,9950.060059999998,TimeReturn,98,-0.0018107733475135612
99,,99,2021-05-17 00:00:00,575.549988,589.72998,561.200012,576.830017,32390400.0,0.0,MyStrategy,99,737927.0,Broker,99,10539.800049999998,9962.970032999998,Trades - Net Profit/Loss,99,,,BuySell,99,,,DrawDown,99,0.8740571761507291,2.4039816979923336,Value,99,9962.970032999998,TimeReturn,99,0.00129747689181281
100,,100,2021-05-18 00:00:00,568.0,596.25,563.380005,577.869995,36830600.0,0.0,MyStrategy,100,737928.0,Broker,100,10539.800049999998,9961.930054999997,Trades - Net Profit/Loss,100,,,BuySell,100,,,DrawDown,100,0.8844043717585321,2.4039816979923336,Value,100,9961.930054999997,TimeReturn,100,-0.00010438433484749599
101,,101,2021-05-19 00:00:00,552.549988,566.210022,546.97998,563.460022,39578400.0,0.0,MyStrategy,101,737929.0,Broker,101,10539.800049999998,9976.340027999999,Trades - Net Profit/Loss,101,,,BuySell,101,,,DrawDown,101,0.741033253009793,2.4039816979923336,Value,101,9976.340027999999,TimeReturn,101,0.0014465041332798467
102,,102,2021-05-20 00:00:00,575.0,588.849976,571.070007,586.780029,30821100.0,0.0,MyStrategy,102,737930.0,Broker,102,10539.800049999998,9953.020020999998,Trades - Net Profit/Loss,102,,,BuySell,102,,,DrawDown,102,0.9730541938414023,2.4039816979923336,Value,102,9953.020020999998,TimeReturn,102,-0.0023375312924929226
103,,103,2021-05-21 00:00:00,596.109985,596.679993,580.0,580.880005,26030600.0,0.0,MyStrategy,103,737931.0,Broker,103,9347.58008,9928.460084999999,Trades - Net Profit/Loss,103,107.69000299999993,,BuySell,103,596.109985,,DrawDown,103,1.2174117301613516,2.4039816979923336,Value,103,9928.460084999999,TimeReturn,103,-0.002467586315327397
104,,104,2021-05-24 00:00:00,581.599976,614.47998,573.650024,606.440002,34558100.0,0.0,MyStrategy,104,737934.0,Broker,104,9347.58008,9954.020082,Trades - Net Profit/Loss,104,,,BuySell,104,,,DrawDown,104,0.9631041499109204,2.4039816979923336,Value,104,9954.020082,TimeReturn,104,0.0025744170577486347
105,,105,2021-05-25 00:00:00,607.309998,613.98999,595.710022,604.690002,28005900.0,0.0,MyStrategy,105,737935.0,Broker,105,9347.58008,9952.270082,Trades - Net Profit/Loss,105,,,BuySell,105,,,DrawDown,105,0.9805156646868513,2.4039816979923336,Value,105,9952.270082,TimeReturn,105,-0.00017580836542263611
106,,106,2021-05-26 00:00:00,607.559998,626.169983,601.5,619.130005,28639300.0,0.0,MyStrategy,106,737936.0,Broker,106,9347.58008,9966.710084999999,Trades - Net Profit/Loss,106,,,BuySell,106,,,DrawDown,106,0.8368457643445762,2.4039816979923336,Value,106,9966.710084999999,TimeReturn,106,0.0014509255557801914
107,,107,2021-05-27 00:00:00,620.23999,631.130005,616.210022,630.849976,26370600.0,0.0,MyStrategy,107,737937.0,Broker,107,9347.58008,9978.430056,Trades - Net Profit/Loss,107,,,BuySell,107,,,DrawDown,107,0.7202386510645823,2.4039816979923336,Value,107,9978.430056,TimeReturn,107,0.0011759117000542663
108,,108,2021-05-28 00:00:00,628.5,635.590027,622.380005,625.219971,22737000.0,0.0,MyStrategy,108,737938.0,Broker,108,9347.58008,9972.800051,Trades - Net Profit/Loss,108,,,BuySell,108,,,DrawDown,108,0.7762540312051815,2.4039816979923336,Value,108,9972.800051,TimeReturn,108,-0.0005642175140180283
109,,109,2021-06-01 00:00:00,627.799988,633.799988,620.549988,623.900024,18084900.0,0.0,MyStrategy,109,737942.0,Broker,109,9347.58008,9971.480104,Trades - Net Profit/Loss,109,,,BuySell,109,,,DrawDown,109,0.7893867607445787,2.4039816979923336,Value,109,9971.480104,TimeReturn,109,-0.00013235470412020778
110,,110,2021-06-02 00:00:00,620.130005,623.359985,599.140015,605.119995,23302800.0,0.0,MyStrategy,110,737943.0,Broker,110,9347.58008,9952.700075,Trades - Net Profit/Loss,110,,,BuySell,110,,,DrawDown,110,0.9762374764165233,2.4039816979923336,Value,110,9952.700075,TimeReturn,110,-0.0018833742638132422
111,,111,2021-06-03 00:00:00,601.799988,604.549988,571.219971,572.840027,30111900.0,0.0,MyStrategy,111,737944.0,Broker,111,9347.58008,9920.420107,Trades - Net Profit/Loss,111,,,BuySell,111,,,DrawDown,111,1.2974049848728602,2.4039816979923336,Value,111,9920.420107,TimeReturn,111,-0.0032433377632954397
112,,112,2021-06-04 00:00:00,579.710022,600.609985,577.200012,599.049988,24036900.0,0.0,MyStrategy,112,737945.0,Broker,112,9347.58008,9946.630068,Trades - Net Profit/Loss,112,,,BuySell,112,,,DrawDown,112,1.0366306287425282,2.4039816979923336,Value,112,9946.630068,TimeReturn,112,0.0026420212770532636
113,,113,2021-06-07 00:00:00,591.830017,610.0,582.880005,605.130005,22543700.0,0.0,MyStrategy,113,737948.0,Broker,113,10531.240114,9926.110109000001,Trades - Net Profit/Loss,113,,-4.2799680000000535,BuySell,113,,591.830017,DrawDown,113,1.2407926683596617,2.4039816979923336,Value,113,9926.110109000001,TimeReturn,113,-0.002063006149792934
114,,114,2021-06-08 00:00:00,623.01001,623.090027,595.5,603.590027,26053400.0,0.0,MyStrategy,114,737949.0,Broker,114,10531.240114,9927.650087,Trades - Net Profit/Loss,114,,,BuySell,114,,,DrawDown,114,1.225470754244468,2.4039816979923336,Value,114,9927.650087,TimeReturn,114,0.00015514415849593455
115,,115,2021-06-09 00:00:00,602.169983,611.789978,597.630005,598.780029,16584600.0,0.0,MyStrategy,115,737950.0,Broker,115,10531.240114,9932.460085,Trades - Net Profit/Loss,115,,,BuySell,115,,,DrawDown,115,1.1776139821020628,2.4039816979923336,Value,115,9932.460085,TimeReturn,115,0.00048450519084064503
116,,116,2021-06-10 00:00:00,603.880005,616.590027,600.5,610.119995,23919600.0,0.0,MyStrategy,116,737951.0,Broker,116,10531.240114,9921.120119,Trades - Net Profit/Loss,116,,,BuySell,116,,,DrawDown,116,1.2904402595692501,2.4039816979923336,Value,116,9921.120119,TimeReturn,116,-0.0011417076839933538
117,,117,2021-06-11 00:00:00,610.22998,612.559998,601.52002,609.890015,16205300.0,0.0,MyStrategy,117,737952.0,Broker,117,10531.240114,9921.350099,Trades - Net Profit/Loss,117,,,BuySell,117,,,DrawDown,117,1.2881520880445818,2.4039816979923336,Value,117,9921.350099,TimeReturn,117,2.3180850271087294e-05
118,,118,2021-06-14 00:00:00,612.22998,625.48999,609.179993,617.690002,20424000.0,0.0,MyStrategy,118,737955.0,Broker,118,10531.240114,9913.550112,Trades - Net Profit/Loss,118,,,BuySell,118,,,DrawDown,118,1.3657575674174636,2.4039816979923336,Value,118,9913.550112,TimeReturn,118,-0.0007861820137547992
119,,119,2021-06-15 00:00:00,616.690002,616.789978,598.22998,599.359985,17764100.0,0.0,MyStrategy,119,737956.0,Broker,119,9297.860110000001,9897.220095,Trades - Net Profit/Loss,119,,-24.85998500000005,BuySell,119,616.690002,,DrawDown,119,1.5282320430098673,2.4039816979923336,Value,119,9897.220095,TimeReturn,119,-0.001647242089413914
120,,120,2021-06-16 00:00:00,597.539978,608.5,593.5,604.869995,22144100.0,0.0,MyStrategy,120,737957.0,Broker,120,9297.860110000001,9902.730105000002,Trades - Net Profit/Loss,120,,,BuySell,120,,,DrawDown,120,1.473410545563834,2.4039816979923336,Value,120,9902.730105000002,TimeReturn,120,0.0005567229936398466
121,,121,2021-06-17 00:00:00,601.890015,621.469971,601.340027,616.599976,22701400.0,0.0,MyStrategy,121,737958.0,Broker,121,10501.640140000003,9885.040164000004,Trades - Net Profit/Loss,121,,-14.799987000000101,BuySell,121,,601.890015,DrawDown,121,1.6494154993391619,2.4039816979923336,Value,121,9885.040164000004,TimeReturn,121,-0.0017863701032371226
122,,122,2021-06-18 00:00:00,613.369995,628.349976,611.799988,623.309998,24560900.0,0.0,MyStrategy,122,737959.0,Broker,122,10501.640140000003,9878.330142000003,Trades - Net Profit/Loss,122,,,BuySell,122,,,DrawDown,122,1.7161764405962139,2.4039816979923336,Value,122,9878.330142000003,TimeReturn,122,-0.0006788057396507341
123,,123,2021-06-21 00:00:00,624.47998,631.390015,608.880005,620.830017,24812700.0,0.0,MyStrategy,123,737962.0,Broker,123,9252.680180000003,9873.510197000003,Trades - Net Profit/Loss,123,,-22.589965000000007,BuySell,123,624.47998,,DrawDown,123,1.764132179788592,2.4039816979923336,Value,123,9873.510197000003,TimeReturn,123,-0.0004879311513902307
124,,124,2021-06-22 00:00:00,618.25,628.570007,615.5,623.710022,19158900.0,0.0,MyStrategy,124,737963.0,Broker,124,9252.680180000003,9876.390202000002,Trades - Net Profit/Loss,124,,,BuySell,124,,,DrawDown,124,1.7354777514387412,2.4039816979923336,Value,124,9876.390202000002,TimeReturn,124,0.0002916900821021695
125,,125,2021-06-23 00:00:00,632.0,657.200012,630.039978,656.570007,31099200.0,0.0,MyStrategy,125,737964.0,Broker,125,9252.680180000003,9909.250187000003,Trades - Net Profit/Loss,125,,,BuySell,125,,,DrawDown,125,1.4085394003733787,2.4039816979923336,Value,125,9909.250187000003,TimeReturn,125,0.0033271250252289164
126,,126,2021-06-24 00:00:00,674.98999,697.619995,667.609985,679.820007,45982400.0,0.0,MyStrategy,126,737965.0,Broker,126,9252.680180000003,9932.500187000003,Trades - Net Profit/Loss,126,,,BuySell,126,,,DrawDown,126,1.1772149897788682,2.4039816979923336,Value,126,9932.500187000003,TimeReturn,126,0.002346292561116403
127,,127,2021-06-25 00:00:00,689.580017,693.809998,668.700012,671.869995,32496700.0,0.0,MyStrategy,127,737966.0,Broker,127,9252.680180000003,9924.550175000004,Trades - Net Profit/Loss,127,,,BuySell,127,,,DrawDown,127,1.256313133439906,2.4039816979923336,Value,127,9924.550175000004,TimeReturn,127,-0.000800403911434544
128,,128,2021-06-28 00:00:00,671.640015,694.700012,670.320007,688.719971,21628200.0,0.0,MyStrategy,128,737969.0,Broker,128,9252.680180000003,9941.400151000003,Trades - Net Profit/Loss,128,,,BuySell,128,,,DrawDown,128,1.0886653585267216,2.4039816979923336,Value,128,9941.400151000003,TimeReturn,128,0.0016978075280877913
129,,129,2021-06-29 00:00:00,684.650024,687.51001,675.890015,680.76001,17381300.0,0.0,MyStrategy,129,737970.0,Broker,129,9252.680180000003,9933.440190000003,Trades - Net Profit/Loss,129,,,BuySell,129,,,DrawDown,129,1.1678624891366314,2.4039816979923336,Value,129,9933.440190000003,TimeReturn,129,-0.000800688120294546
130,,130,2021-06-30 00:00:00,679.77002,692.809998,678.140015,679.700012,18924900.0,0.0,MyStrategy,130,737971.0,Broker,130,9252.680180000003,9932.380192000002,Trades - Net Profit/Loss,130,,,BuySell,130,,,DrawDown,130,1.1784088724734705,2.4039816979923336,Value,130,9932.380192000002,TimeReturn,130,-0.000106710060132853
131,,131,2021-07-01 00:00:00,683.919983,687.98999,672.799988,677.919983,18634500.0,0.0,MyStrategy,131,737972.0,Broker,131,9252.680180000003,9930.600163000003,Trades - Net Profit/Loss,131,,,BuySell,131,,,DrawDown,131,1.196119158893515,2.4039816979923336,Value,131,9930.600163000003,TimeReturn,131,-0.00017921474667603743
132,,132,2021-07-02 00:00:00,678.97998,700.0,673.26001,678.900024,27054500.0,0.0,MyStrategy,132,737973.0,Broker,132,9252.680180000003,9931.580204000004,Trades - Net Profit/Loss,132,,,BuySell,132,,,DrawDown,132,1.1863683026920688,2.4039816979923336,Value,132,9931.580204000004,TimeReturn,132,9.868900005183256e-05
133,,133,2021-07-06 00:00:00,681.710022,684.0,651.400024,659.580017,23284500.0,0.0,MyStrategy,133,737977.0,Broker,133,9252.680180000003,9912.260197000003,Trades - Net Profit/Loss,133,,,BuySell,133,,,DrawDown,133,1.3785914954644078,2.4039816979923336,Value,133,9912.260197000003,TimeReturn,133,-0.0019453104745827954
134,,134,2021-07-07 00:00:00,664.27002,665.700012,638.320007,644.650024,18792000.0,0.0,MyStrategy,134,737978.0,Broker,134,9252.680180000003,9897.330204000004,Trades - Net Profit/Loss,134,,,BuySell,134,,,DrawDown,134,1.5271365204495737,2.4039816979923336,Value,134,9897.330204000004,TimeReturn,134,-0.0015062147989737262
135,,135,2021-07-08 00:00:00,628.369995,654.429993,620.460022,652.809998,22773300.0,0.0,MyStrategy,135,737979.0,Broker,135,9252.680180000003,9905.490178000004,Trades - Net Profit/Loss,135,,,BuySell,135,,,DrawDown,135,1.4459493730940225,2.4039816979923336,Value,135,9905.490178000004,TimeReturn,135,0.0008244621359305704
136,,136,2021-07-09 00:00:00,653.179993,658.909973,644.690002,656.950012,18140500.0,0.0,MyStrategy,136,737980.0,Broker,136,10559.040166000003,9902.090154000003,Trades - Net Profit/Loss,136,28.700013000000013,,BuySell,136,,653.179993,DrawDown,136,1.4797776977308956,2.4039816979923336,Value,136,9902.090154000003,TimeReturn,136,-0.0003432464157656634
137,,137,2021-07-12 00:00:00,662.200012,687.23999,662.159973,685.700012,25927000.0,0.0,MyStrategy,137,737983.0,Broker,137,10559.040166000003,9873.340154000003,Trades - Net Profit/Loss,137,,,BuySell,137,,,DrawDown,137,1.7658240119069033,2.4039816979923336,Value,137,9873.340154000003,TimeReturn,137,-0.0029034274130887994
138,,138,2021-07-13 00:00:00,686.320007,693.280029,666.299988,668.539978,20966100.0,0.0,MyStrategy,138,737984.0,Broker,138,9186.400152000002,9854.940130000003,Trades - Net Profit/Loss,138,,-33.140014000000065,BuySell,138,686.320007,,DrawDown,138,1.9488938917660414,2.4039816979923336,Value,138,9854.940130000003,TimeReturn,138,-0.0018636068152221297
139,,139,2021-07-14 00:00:00,670.75,678.609985,652.840027,653.380005,21641200.0,0.0,MyStrategy,139,737985.0,Broker,139,9186.400152000002,9839.780157000001,Trades - Net Profit/Loss,139,,,BuySell,139,,,DrawDown,139,2.099727088275894,2.4039816979923336,Value,139,9839.780157000001,TimeReturn,139,-0.001538312034372713
140,,140,2021-07-15 00:00:00,658.390015,666.140015,637.880005,650.599976,20209600.0,0.0,MyStrategy,140,737986.0,Broker,140,9186.400152000002,9837.000128000001,Trades - Net Profit/Loss,140,,,BuySell,140,,,DrawDown,140,2.127386811710756,2.4039816979923336,Value,140,9837.000128000001,TimeReturn,140,-0.000282529584568203
141,,141,2021-07-16 00:00:00,654.679993,656.700012,642.200012,644.219971,16371000.0,0.0,MyStrategy,141,737987.0,Broker,141,9186.400152000002,9830.620123000002,Trades - Net Profit/Loss,141,,,BuySell,141,,,DrawDown,141,2.1908642696124687,2.4039816979923336,Value,141,9830.620123000002,TimeReturn,141,-0.0006485722188657173
142,,142,2021-07-19 00:00:00,629.890015,647.200012,621.289978,646.219971,21297100.0,0.0,MyStrategy,142,737990.0,Broker,142,9186.400152000002,9832.620123000002,Trades - Net Profit/Loss,142,,,BuySell,142,,,DrawDown,142,2.1709653955828334,2.4039816979923336,Value,142,9832.620123000002,TimeReturn,142,0.00020344596525712078
143,,143,2021-07-20 00:00:00,651.98999,662.390015,640.5,660.5,15487100.0,0.0,MyStrategy,143,737991.0,Broker,143,10490.380132000002,9829.880132000002,Trades - Net Profit/Loss,143,,-34.330017,BuySell,143,,651.98999,DrawDown,143,2.198226763458504,2.4039816979923336,Value,143,9829.880132000002,TimeReturn,143,-0.0002786633639584313
144,,144,2021-07-21 00:00:00,659.609985,664.859985,650.289978,655.289978,13953300.0,0.0,MyStrategy,144,737992.0,Broker,144,9171.160162000004,9826.450140000004,Trades - Net Profit/Loss,144,,-7.619995000000017,BuySell,144,659.609985,,DrawDown,144,2.2323532528238084,2.4039816979923336,Value,144,9826.450140000004,TimeReturn,144,-0.0003489352824183056
145,,145,2021-07-22 00:00:00,656.440002,662.169983,644.599976,649.26001,15105700.0,0.0,MyStrategy,145,737993.0,Broker,145,9171.160162000004,9820.420172000004,Trades - Net Profit/Loss,145,,,BuySell,145,,,DrawDown,145,2.292348039641182,2.4039816979923336,Value,145,9820.420172000004,TimeReturn,145,-0.000613646628649267
146,,146,2021-07-23 00:00:00,646.359985,648.799988,637.299988,643.380005,14604900.0,0.0,MyStrategy,146,737994.0,Broker,146,9171.160162000004,9814.540167000003,Trades - Net Profit/Loss,146,,,BuySell,146,,,DrawDown,146,2.3508507790355035,2.4039816979923336,Value,146,9814.540167000003,TimeReturn,146,-0.000598752894175103
147,,147,2021-07-26 00:00:00,650.969971,668.200012,647.109985,657.619995,25336600.0,0.0,MyStrategy,147,737997.0,Broker,147,9171.160162000004,9828.780157000005,Trades - Net Profit/Loss,147,,,BuySell,147,,,DrawDown,147,2.209170895438852,2.4039816979923336,Value,147,9828.780157000005,TimeReturn,147,0.0014509075063833254
148,,148,2021-07-27 00:00:00,663.400024,666.5,627.23999,644.780029,32813300.0,0.0,MyStrategy,148,737998.0,Broker,148,10497.960210000005,9853.180181000005,Trades - Net Profit/Loss,148,3.790038999999979,,BuySell,148,,663.400024,DrawDown,148,1.966404393490808,2.4039816979923336,Value,148,9853.180181000005,TimeReturn,148,0.0024825078606141027
149,,149,2021-07-28 00:00:00,647.0,654.969971,639.400024,646.97998,16006600.0,0.0,MyStrategy,149,737999.0,Broker,149,10497.960210000005,9850.980230000005,Trades - Net Profit/Loss,149,,,BuySell,149,,,DrawDown,149,1.9882926674009982,2.4039816979923336,Value,149,9850.980230000005,TimeReturn,149,-0.00022327319297810178
150,,150,2021-07-29 00:00:00,649.789978,683.690002,648.799988,677.349976,30394600.0,0.0,MyStrategy,150,738000.0,Broker,150,10497.960210000005,9820.610234000005,Trades - Net Profit/Loss,150,,,BuySell,150,,,DrawDown,150,2.2904570297432567,2.4039816979923336,Value,150,9820.610234000005,TimeReturn,150,-0.003082941523678162
151,,151,2021-07-30 00:00:00,671.76001,697.530029,669.0,687.200012,29600500.0,0.0,MyStrategy,151,738001.0,Broker,151,9154.440190000005,9841.640202000004,Trades - Net Profit/Loss,151,,-8.359985999999935,BuySell,151,671.76001,,DrawDown,151,2.0812206877036368,2.4039816979923336,Value,151,9841.640202000004,TimeReturn,151,0.0021414115313518334
152,,152,2021-08-02 00:00:00,700.0,726.940002,698.400024,709.669983,33615800.0,0.0,MyStrategy,152,738004.0,Broker,152,9154.440190000005,9864.110173000005,Trades - Net Profit/Loss,152,,,BuySell,152,,,DrawDown,152,1.857657126514353,2.4039816979923336,Value,152,9864.110173000005,TimeReturn,152,0.002283153065830934
153,,153,2021-08-03 00:00:00,719.0,722.650024,701.01001,709.73999,21620300.0,0.0,MyStrategy,153,738005.0,Broker,153,9154.440190000005,9864.180180000005,Trades - Net Profit/Loss,153,,,BuySell,153,,,DrawDown,153,1.8569605962772542,2.4039816979923336,Value,153,9864.180180000005,TimeReturn,153,7.0971429528832175e-06
154,,154,2021-08-04 00:00:00,711.0,724.900024,708.929993,710.919983,17002600.0,0.0,MyStrategy,154,738006.0,Broker,154,9154.440190000005,9865.360173000005,Trades - Net Profit/Loss,154,,,BuySell,154,,,DrawDown,154,1.845220330245831,2.4039816979923336,Value,154,9865.360173000005,TimeReturn,154,0.00011962403144183398
155,,155,2021-08-05 00:00:00,716.0,720.950012,711.409973,714.630005,12919600.0,0.0,MyStrategy,155,738007.0,Broker,155,9154.440190000005,9869.070195000004,Trades - Net Profit/Loss,155,,,BuySell,155,,,DrawDown,155,1.8083077000332501,2.4039816979923336,Value,155,9869.070195000004,TimeReturn,155,0.0003760655399234203
156,,156,2021-08-06 00:00:00,711.900024,716.330017,697.630005,699.099976,15576200.0,0.0,MyStrategy,156,738008.0,Broker,156,9154.440190000005,9853.540166000004,Trades - Net Profit/Loss,156,,,BuySell,156,,,DrawDown,156,1.9628227454070373,2.4039816979923336,Value,156,9853.540166000004,TimeReturn,156,-0.0015736060939021135
157,,157,2021-08-09 00:00:00,710.169983,719.030029,705.130005,713.76001,14715300.0,0.0,MyStrategy,157,738011.0,Broker,157,9154.440190000005,9868.200200000005,Trades - Net Profit/Loss,157,,,BuySell,157,,,DrawDown,157,1.8169636604889474,2.4039816979923336,Value,157,9868.200200000005,TimeReturn,157,0.0014877936003736547
158,,158,2021-08-10 00:00:00,713.98999,716.590027,701.880005,709.98999,13432300.0,0.0,MyStrategy,158,738012.0,Broker,158,10582.420170000005,9872.430180000005,Trades - Net Profit/Loss,158,42.22998000000007,,BuySell,158,,713.98999,DrawDown,158,1.7748777409050085,2.4039816979923336,Value,158,9872.430180000005,TimeReturn,158,0.00042864756635152546
159,,159,2021-08-11 00:00:00,712.710022,715.179993,704.210022,707.820007,9800600.0,0.0,MyStrategy,159,738013.0,Broker,159,10582.420170000005,9874.600163000005,Trades - Net Profit/Loss,159,,,BuySell,159,,,DrawDown,159,1.7532876317232855,2.4039816979923336,Value,159,9874.600163000005,TimeReturn,159,0.00021980231416529605
160,,160,2021-08-12 00:00:00,706.340027,722.799988,699.400024,722.25,17459100.0,0.0,MyStrategy,160,738014.0,Broker,160,10582.420170000005,9860.170170000005,Trades - Net Profit/Loss,160,,,BuySell,160,,,DrawDown,160,1.8968579382010426,2.4039816979923336,Value,160,9860.170170000005,TimeReturn,160,-0.0014613242826853057
161,,161,2021-08-13 00:00:00,723.710022,729.900024,714.340027,717.169983,16698900.0,0.0,MyStrategy,161,738015.0,Broker,161,9135.000126000006,9852.170109000006,Trades - Net Profit/Loss,161,,-9.720031999999946,BuySell,161,723.710022,,DrawDown,161,1.97645404123523,2.4039816979923336,Value,161,9852.170109000006,TimeReturn,161,-0.0008113512101788345
162,,162,2021-08-16 00:00:00,705.070007,709.5,676.400024,686.169983,22677400.0,0.0,MyStrategy,162,738018.0,Broker,162,9135.000126000006,9821.170109000006,Trades - Net Profit/Loss,162,,,BuySell,162,,,DrawDown,162,2.2848865886945773,2.4039816979923336,Value,162,9821.170109000006,TimeReturn,162,-0.003146514895401742
163,,163,2021-08-17 00:00:00,672.659973,674.580017,648.840027,665.710022,23721300.0,0.0,MyStrategy,163,738019.0,Broker,163,9135.000126000006,9800.710148000006,Trades - Net Profit/Loss,163,,,BuySell,163,,,DrawDown,163,2.488451681989708,2.488451681989708,Value,163,9800.710148000006,TimeReturn,163,-0.002083250852284002
164,,164,2021-08-18 00:00:00,669.75,695.77002,669.349976,688.98999,20349400.0,0.0,MyStrategy,164,738020.0,Broker,164,9135.000126000006,9823.990116000006,Trades - Net Profit/Loss,164,,,BuySell,164,,,DrawDown,164,2.25682910666673,2.488451681989708,Value,164,9823.990116000006,TimeReturn,164,0.0023753348123198847
165,,165,2021-08-19 00:00:00,678.210022,686.549988,667.590027,673.469971,14313500.0,0.0,MyStrategy,165,738021.0,Broker,165,10491.420170000005,9817.950199000004,Trades - Net Profit/Loss,165,,-45.5,BuySell,165,,678.210022,DrawDown,165,2.3169228804329753,2.488451681989708,Value,165,9817.950199000004,TimeReturn,165,-0.000614813016776683
